epoch,home_team,away_team,tournament,neutral,home_team_win_percent,away_team_win_percent,winner
-1802631600.0,H-Germany,A-Netherlands,Friendly,F,0.2777777777777778,0.7727272727272727,Away
-1801422000.0,H-Uruguay,A-Argentina,Friendly,F,0.391304347826087,0.44,Away
-1801422000.0,H-Catalonia,A-France,Friendly,F,0.0,0.3684210526315789,Home
-1797793200.0,H-France,A-Italy,Friendly,F,0.35,0.2,Home
-1797274800.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.125,0.3333333333333333,Away
-1794855600.0,H-Northern Ireland,A-England,British Home Championship,F,0.11764705882352941,0.7096774193548387,Home
-1794769200.0,H-Belgium,A-France,Friendly,F,0.5,0.35,Home
-1793473200.0,H-Wales,A-Scotland,British Home Championship,F,0.3333333333333333,0.3333333333333333,Tie
-1792954800.0,H-Belgium,A-Netherlands,Friendly,F,0.5172413793103449,0.782608695652174,Tie
-1792954800.0,H-Switzerland,A-France,Friendly,F,0.3076923076923077,0.3333333333333333,Away
-1792263600.0,H-England,A-Wales,British Home Championship,F,0.7096774193548387,0.32,Home
-1790622000.0,H-England,A-Scotland,British Home Championship,F,0.7,0.3333333333333333,Home
-1789326000.0,H-France,A-Luxembourg,Friendly,F,0.36363636363636365,0.0,Home
-1789326000.0,H-Netherlands,A-Belgium,Friendly,F,0.75,0.5,Away
-1788375600.0,H-Italy,A-Belgium,Friendly,F,0.16666666666666666,0.5172413793103449,Home
-1788116400.0,H-Switzerland,A-Belgium,Friendly,F,0.2857142857142857,0.5,Away
-1786906800.0,H-Germany,A-Switzerland,Friendly,F,0.2631578947368421,0.26666666666666666,Away
-1786302000.0,H-Denmark,A-Sweden,Friendly,F,1.0,0.25,Home
-1784487600.0,H-Argentina,A-Uruguay,Friendly,F,0.46153846153846156,0.375,Tie
-1782414000.0,H-Argentina,A-Uruguay,Friendly,F,0.4444444444444444,0.36,Home
-1779217200.0,H-Argentina,A-Uruguay,Copa Lipton,F,0.48148148148148145,0.36,Home
-1777834800.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.5,0.34615384615384615,Home
-1776020400.0,H-Chile,A-Argentina,Friendly,F,0.0,0.5172413793103449,Away
